event_category,cluster_id
地理/雷雨風,-1
人生/出生,-1
日常/形象描写,-1
政治/任职管辖,0
日常/出行事件,0
日常/交谈事件,-1
日常/会见事件,1
政治/贿赂事件,-1
人生/婚嫁,2
战争/逃逸事件,0
战争/起兵事件,-1
战争/投奔事件,0
日常/命令事件,0
战争/刺杀事件,2
政治/叛变事件,-1
政治/派遣事件,-1
日常/跟随事件,2
战争/防守事件,2
政治/诏谕事件,-1
政治/推举事件,-1
日常/推辞拒绝,3
政治/分封事件,-1
民事/宗教事件,4
战争/进攻事件,-1
战争/围攻事件,-1
政治/任命事件,2
战争/调兵事件,-1
战争/战败事件,-1
日常/许诺事件,2
战争/出征事件,1
战争/受降事件,5
政治/赏赐事件,-1
政治/登基事件,4
战争/伏击事件,2
日常/埋葬事件,2
战争/劫持事件,2
战争/驻扎事件,2
政治/赦免事件,-1
日常/更名事件,2
民事/修建事件,2
政治/奏请事件,2
战争/释放事件,2
战争/追击事件,2
政治/迁官事件,-1
民事/迁徙事件,3
战争/抓捕事件,0
政治/追封事件,3
政治/诬陷事件,2
政治/抓捕事件,2
政治/罢免事件,0
政治/判案事件,2
政治/朝会事件,6
日常/其他事件,-1
民事/欢呼事件,6
人生/死亡,0
文化/撰写事件,5
政治/免税事件,2
战争/受伤事件,2
人生/继承,2
